year,category,group,indicator,value
2015,Total,Total,satisfied_with_area,0.83
2015,Total,Total,local_govt_responsive,0.49
2015,Total,Total,police_approval,0.78
2015,Age,Ages 18-34,satisfied_with_area,0.85
2015,Age,Ages 18-34,local_govt_responsive,0.44
2015,Age,Ages 18-34,police_approval,0.72
2015,Age,Ages 35-49,satisfied_with_area,0.8
2015,Age,Ages 35-49,local_govt_responsive,0.47
2015,Age,Ages 35-49,police_approval,0.76
2015,Age,Ages 50-64,satisfied_with_area,0.81
2015,Age,Ages 50-64,local_govt_responsive,0.49
2015,Age,Ages 50-64,police_approval,0.79
2015,Age,Ages 65+,satisfied_with_area,0.86
2015,Age,Ages 65+,local_govt_responsive,0.61
2015,Age,Ages 65+,police_approval,0.85
2015,Race/Ethnicity,White,satisfied_with_area,0.84
2015,Race/Ethnicity,White,local_govt_responsive,0.52
2015,Race/Ethnicity,White,police_approval,0.81
2015,Race/Ethnicity,Black,satisfied_with_area,0.78
2015,Race/Ethnicity,Black,local_govt_responsive,0.37
2015,Race/Ethnicity,Black,police_approval,0.57
2015,Race/Ethnicity,Latino,satisfied_with_area,0.81
2015,Race/Ethnicity,Latino,local_govt_responsive,0.46
2015,Race/Ethnicity,Latino,police_approval,0.68
2021,Total,Total,satisfied_with_area,0.89
2021,Total,Total,local_govt_responsive,0.57
2021,Total,Total,police_approval,0.75
2021,Age,Ages 18-34,satisfied_with_area,0.88
2021,Age,Ages 18-34,local_govt_responsive,0.42
2021,Age,Ages 18-34,police_approval,0.58
2021,Age,Ages 35-49,satisfied_with_area,0.88
2021,Age,Ages 35-49,local_govt_responsive,0.56
2021,Age,Ages 35-49,police_approval,0.75
2021,Age,Ages 50-64,satisfied_with_area,0.89
2021,Age,Ages 50-64,local_govt_responsive,0.6
2021,Age,Ages 50-64,police_approval,0.8
2021,Age,Ages 65+,satisfied_with_area,0.92
2021,Age,Ages 65+,local_govt_responsive,0.71
2021,Age,Ages 65+,police_approval,0.86
2021,Race/Ethnicity,White,satisfied_with_area,0.91
2021,Race/Ethnicity,White,local_govt_responsive,0.63
2021,Race/Ethnicity,White,police_approval,0.81
2021,Race/Ethnicity,Black,satisfied_with_area,0.85
2021,Race/Ethnicity,Black,local_govt_responsive,0.42
2021,Race/Ethnicity,Black,police_approval,0.53
2021,Race/Ethnicity,Latino,satisfied_with_area,0.85
2021,Race/Ethnicity,Latino,local_govt_responsive,0.48
2021,Race/Ethnicity,Latino,police_approval,0.62
